Epoch:29 | loss:0.90 | acc:0.5422 | prec0:0.4655 | prec1:0.6571 | prec2:0.6081 | recall0:0.6835  | recall1:0.3485 | recall2:0.5625
Epoch:30 | loss:0.96 | acc:0.4400 | prec0:0.5789 | prec1:0.3542 | prec2:0.5968 | recall0:0.1392  | recall1:0.7727 | recall2:0.4625
Epoch:31 | loss:0.91 | acc:0.5511 | prec0:0.5616 | prec1:0.5143 | prec2:0.5732 | recall0:0.5190  | recall1:0.5455 | recall2:0.5875
Epoch:32 | loss:1.00 | acc:0.5689 | prec0:0.5417 | prec1:0.5918 | prec2:0.5875 | recall0:0.6582  | recall1:0.4394 | recall2:0.5875
Epoch:33 | loss:0.87 | acc:0.4489 | prec0:0.6000 | prec1:0.3681 | prec2:0.5902 | recall0:0.1519  | recall1:0.8030 | recall2:0.4500
Epoch:34 | loss:1.06 | acc:0.5467 | prec0:0.5294 | prec1:0.5577 | prec2:0.5634 | recall0:0.6835  | recall1:0.4394 | recall2:0.5000
Epoch:35 | loss:1.20 | acc:0.5333 | prec0:0.6429 | prec1:0.4468 | prec2:0.5730 | recall0:0.3418  | recall1:0.6364 | recall2:0.6375
Epoch:36 | loss:0.81 | acc:0.5511 | prec0:0.4865 | prec1:0.7297 | prec2:0.5584 | recall0:0.6835  | recall1:0.4091 | recall2:0.5375
Epoch:37 | loss:0.92 | acc:0.5111 | prec0:0.6250 | prec1:0.4286 | prec2:0.5625 | recall0:0.3165  | recall1:0.6818 | recall2:0.5625
Epoch:38 | loss:1.05 | acc:0.5733 | prec0:0.5146 | prec1:0.6667 | prec2:0.5915 | recall0:0.6709  | recall1:0.5152 | recall2:0.5250
Epoch:39 | loss:0.90 | acc:0.5111 | prec0:0.6000 | prec1:0.4190 | prec2:0.5867 | recall0:0.3418  | recall1:0.6667 | recall2:0.5500
Epoch:40 | loss:0.86 | acc:0.5733 | prec0:0.5327 | prec1:0.6094 | prec2:0.6111 | recall0:0.7215  | recall1:0.5909 | recall2:0.4125
Epoch:41 | loss:0.90 | acc:0.5778 | prec0:0.5658 | prec1:0.5345 | prec2:0.6154 | recall0:0.5443  | recall1:0.4697 | recall2:0.7000
Epoch:42 | loss:0.89 | acc:0.5644 | prec0:0.5043 | prec1:0.6275 | prec2:0.6271 | recall0:0.7342  | recall1:0.4848 | recall2:0.4625
Epoch:43 | loss:1.27 | acc:0.5422 | prec0:0.6111 | prec1:0.5125 | prec2:0.5275 | recall0:0.4177  | recall1:0.6212 | recall2:0.6000
Epoch:44 | loss:1.15 | acc:0.5778 | prec0:0.5093 | prec1:0.6290 | prec2:0.6545 | recall0:0.6962  | recall1:0.5909 | recall2:0.4500
Epoch:45 | loss:0.87 | acc:0.5956 | prec0:0.5484 | prec1:0.6364 | prec2:0.6212 | recall0:0.6456  | recall1:0.6364 | recall2:0.5125
Epoch:46 | loss:0.79 | acc:0.5467 | prec0:0.5375 | prec1:0.5493 | prec2:0.5541 | recall0:0.5443  | recall1:0.5909 | recall2:0.5125
Epoch:47 | loss:0.98 | acc:0.5111 | prec0:0.7222 | prec1:0.4159 | prec2:0.5526 | recall0:0.3291  | recall1:0.7121 | recall2:0.5250
